_id,DomHand,BornCountry,PlayerName
6939ac1ea0a4842b02116849,Right,Mexico,Eduardo Magadan-Castro
6939ac1ea0a4842b0211684a,Right,País não definido,Aliaksandr Skrypko
6939ac1ea0a4842b0211684b,U,País não definido,Ashutosh Singh
6939ac1ea0a4842b0211684c,U,País não definido,Kensuke Goto
6939ac1ea0a4842b0211684d,Right,País não definido,Alexandros Jakupovic
6939ac1ea0a4842b0211684e,Right,País não definido,Josh Goffi
6939ac1ea0a4842b0211684f,Right,Argentina,Luis Lobo
6939ac1ea0a4842b02116850,U,País não definido,Alex Solanki
6939ac1ea0a4842b02116851,Right,Sweden,Marcus Mansson
6939ac1ea0a4842b02116852,Right,País não definido,Abel Rincon-Vazquez
6939ac1ea0a4842b02116853,U,País não definido,Gabriel Gomez
6939ac1ea0a4842b02116854,U,País não definido,Javier Molino
6939ac1ea0a4842b02116855,U,País não definido,Jonas Berg
6939ac1ea0a4842b02116856,Right,País não definido,Luka Belic
6939ac1ea0a4842b02116857,U,País não definido,Jeremiah Fuller
6939ac1ea0a4842b02116858,Right,Colombia,Santiago Giraldo
6939ac1ea0a4842b02116859,Right,Venezuela,Lorenzo Claverie
6939ac1ea0a4842b0211685a,Right,Australia,Aleksandar Vukic
6939ac1ea0a4842b0211685b,Right,País não definido,Riaan Du Toit
6939ac1ea0a4842b0211685c,Right,Haiti,Gael Gaetjens
6939ac1ea0a4842b0211685d,U,País não definido,Pedro Rodenas
6939ac1ea0a4842b0211685e,Right,Brazil,Thiago Alves
6939ac1ea0a4842b0211685f,Right,País não definido,Patrick Osuna
6939ac1ea0a4842b02116860,U,País não definido,Mark Roberts
6939ac1ea0a4842b02116861,Right,País não definido,Peter Madarassy
6939ac1ea0a4842b02116862,Right,South Africa,Lance Cohen
6939ac1ea0a4842b02116863,Right,País não definido,Trevor Spracklin
6939ac1ea0a4842b02116864,Right,País não definido,Simon Yastremskiy
6939ac1ea0a4842b02116865,Right,País não definido,Danny Brakos
