_id,TornLoc,Tournament,StartDate
6939ac1fa0a4842b02118fc6,New Zealand,Auckland,1979-12-31T00:00:00.000Z
6939ac1fa0a4842b02118fc7,United Kingdom,Bristol,1985-06-17T00:00:00.000Z
6939ac1fa0a4842b02118fc8,Spain,Reus,1981-08-24T00:00:00.000Z
6939ac1fa0a4842b02118fc9,Thailand,Thailand F1,2017-06-05T00:00:00.000Z
6939ac1fa0a4842b02118fca,Slovenia,Portoroz,2019-08-12T00:00:00.000Z
6939ac1fa0a4842b02118fcb,France,France F2,2014-01-20T00:00:00.000Z
6939ac1fa0a4842b02118fcc,United States,U.S.A. F15,2016-04-25T00:00:00.000Z
6939ac1fa0a4842b02118fcd,Spain,M25 Madrid,2021-09-13T00:00:00.000Z
6939ac1fa0a4842b02118fce,United Kingdom,Nottingham 2,2012-06-11T00:00:00.000Z
6939ac1fa0a4842b02118fcf,United Kingdom,Kiev,1998-05-25T00:00:00.000Z
6939ac1fa0a4842b02118fd0,Bulgaria,RSA vs BUL EAZ2,1993-07-12T00:00:00.000Z
6939ac1fa0a4842b02118fd1,Mexico,San Luis Potosi,2013-03-25T00:00:00.000Z
6939ac1fa0a4842b02118fd2,Italy,Florence,2019-09-23T00:00:00.000Z
6939ac1fa0a4842b02118fd3,Chile,Chile F5,2003-10-06T00:00:00.000Z
6939ac1fa0a4842b02118fd4,Spain,Spain F9,1999-09-06T00:00:00.000Z
6939ac1fa0a4842b02118fd5,Italy,Italy F12,2018-05-28T00:00:00.000Z
6939ac1fa0a4842b02118fd6,China,Beijing,2004-09-20T00:00:00.000Z
6939ac1fa0a4842b02118fd7,Argentina,Buenos Aires,1979-11-19T00:00:00.000Z
6939ac1fa0a4842b02118fd8,Australia,Hobart,1971-01-11T00:00:00.000Z
6939ac1fa0a4842b02118fd9,Italy,Brindisi,2001-08-27T00:00:00.000Z
6939ac1fa0a4842b02118fda,Japan,Tokyo,2018-10-01T00:00:00.000Z
6939ac1fa0a4842b02118fdb,United Kingdom,London / Queen's Club,1984-06-11T00:00:00.000Z
6939ac1fa0a4842b02118fdc,Israel,Israel F2,2015-03-16T00:00:00.000Z
6939ac1fa0a4842b02118fdd,Russia,Saransk,2008-07-28T00:00:00.000Z
6939ac1fa0a4842b02118fde,Argentina,Argentina F8,2006-05-22T00:00:00.000Z
6939ac1fa0a4842b02118fdf,Mexico,Morelos,2019-02-18T00:00:00.000Z
6939ac1fa0a4842b02118fe0,Serbia,Serbia &amp; Montenegro F5,2006-08-14T00:00:00.000Z
6939ac1fa0a4842b02118fe1,United Kingdom,London / Queen's Club,1981-06-08T00:00:00.000Z
6939ac1fa0a4842b02118fe2,Hong Kong,Hong Kong F3,2012-12-17T00:00:00.000Z
6939ac1fa0a4842b02118fe3,Tunisia,Tunisia F1,2003-08-11T00:00:00.000Z
6939ac1fa0a4842b02118fe4,Turkey,Turkey F22,2017-06-05T00:00:00.000Z
6939ac1fa0a4842b02118fe5,Germany,Germany F9,2013-07-08T00:00:00.000Z
6939ac1fa0a4842b02118fe6,Germany,Cologne,1984-10-15T00:00:00.000Z
6939ac1fa0a4842b02118fe7,France,Brest,1989-10-23T00:00:00.000Z
6939ac1fa0a4842b02118fe8,United States,Aptos,1988-07-25T00:00:00.000Z
6939ac1fa0a4842b02118fe9,Mexico,M15 Cancun,2021-10-18T00:00:00.000Z
6939ac1fa0a4842b02118fea,Venezuela,Venezuela F9,2008-10-13T00:00:00.000Z
6939ac1fa0a4842b02118feb,Croatia,Croatia F9,2016-10-03T00:00:00.000Z
6939ac1fa0a4842b02118fec,Germany,Germany F10,1998-06-15T00:00:00.000Z
6939ac1fa0a4842b02118fed,Chile,CHI vs DOM AG1 1st RD,2016-02-29T00:00:00.000Z
6939ac1fa0a4842b02118fee,Portugal,POR vs LTU EAGII 2nd Rd.,2013-04-01T00:00:00.000Z
6939ac1fa0a4842b02118fef,Spain,Spain F18,2017-06-19T00:00:00.000Z
6939ac1fa0a4842b02118ff0,Trinidad and Tobago,NGR vs AUT ZASF,1988-06-06T00:00:00.000Z
6939ac1fa0a4842b02118ff1,Ecuador,Salinas 2,2021-04-26T00:00:00.000Z
6939ac1fa0a4842b02118ff2,Spain,Barcelona WCT,1976-02-02T00:00:00.000Z
6939ac1fa0a4842b02118ff3,United States,Salisbury,1973-02-19T00:00:00.000Z
6939ac1fa0a4842b02118ff4,Spain,Spain F6,2010-02-15T00:00:00.000Z
6939ac1fa0a4842b02118ff5,Bolivia,Bolivia F2,2006-09-18T00:00:00.000Z
6939ac1fa0a4842b02118ff6,United States,AUS vs USA SF,1997-09-15T00:00:00.000Z
6939ac1fa0a4842b02118ff7,Puerto Rico,San Juan,1968-04-01T00:00:00.000Z
6939ac1fa0a4842b02118ff8,Portugal,M25 Quinta Do Lago,2022-03-21T00:00:00.000Z
6939ac1fa0a4842b02118ff9,Togo,Togo F2,2014-12-15T00:00:00.000Z
6939ac1fa0a4842b02118ffa,Italy,Galatina,1980-05-05T00:00:00.000Z
6939ac1fa0a4842b02118ffb,United Kingdom,Great Britain F3,2004-08-02T00:00:00.000Z
6939ac1fa0a4842b02118ffc,Russia,St. Petersburg,2004-10-25T00:00:00.000Z
6939ac1fa0a4842b02118ffd,Colombia,PTR vs COL AZ2,1996-02-05T00:00:00.000Z
6939ac1fa0a4842b02118ffe,Italy,Napoli,2011-04-18T00:00:00.000Z
6939ac1fa0a4842b02118fff,Netherlands,Netherlands F3,2016-06-27T00:00:00.000Z
6939ac1fa0a4842b02119000,Singapore,Singapore,1993-09-20T00:00:00.000Z
6939ac1fa0a4842b02119001,Venezuela,Venezuela F2,2013-05-13T00:00:00.000Z
6939ac1fa0a4842b02119002,South Korea,Seoul,2006-10-30T00:00:00.000Z
6939ac1fa0a4842b02119003,Puerto Rico,PUR vs JAM AGII PO,2004-04-05T00:00:00.000Z
6939ac1fa0a4842b02119004,Brazil,Gramado,2005-08-08T00:00:00.000Z
6939ac1fa0a4842b02119005,Gabon,Gabon F2,2013-08-26T00:00:00.000Z
6939ac1fa0a4842b02119006,Argentina,Buenos Aires,2001-02-19T00:00:00.000Z
6939ac1fa0a4842b02119007,Mexico,Mexico F6,2010-08-30T00:00:00.000Z
6939ac1fa0a4842b02119008,United States,U.S.A. F23,2014-08-04T00:00:00.000Z
6939ac1fa0a4842b02119009,Sweden,Bastad,1974-07-08T00:00:00.000Z
6939ac1fa0a4842b0211900a,Bosnia and Herzegovina,Bosnia &amp; Herzegovina F5,2011-05-30T00:00:00.000Z
6939ac1fa0a4842b0211900b,Brazil,Brazil F35,2008-12-29T00:00:00.000Z
6939ac1fa0a4842b0211900c,Ecuador,Ecuador F2,2013-08-19T00:00:00.000Z
6939ac1fa0a4842b0211900d,France,France F14,2017-07-03T00:00:00.000Z
6939ac1fa0a4842b0211900e,New Zealand,Auckland,2007-01-08T00:00:00.000Z
6939ac1fa0a4842b0211900f,Italy,Italy F7,1999-05-10T00:00:00.000Z
6939ac1fa0a4842b02119010,Bolivia,Bolivia F3,2011-10-03T00:00:00.000Z
6939ac1fa0a4842b02119011,Italy,Italy F29,2010-10-04T00:00:00.000Z
6939ac1fa0a4842b02119012,United States,US Open,1984-08-27T00:00:00.000Z
6939ac1fa0a4842b02119013,Rwanda,Rwanda F1,2005-09-12T00:00:00.000Z
6939ac1fa0a4842b02119014,Tunisia,M15 Monastir,2020-02-17T00:00:00.000Z
6939ac1fa0a4842b02119015,Estonia,EST vs POR EAGII 1st RD,2005-02-28T00:00:00.000Z
6939ac1fa0a4842b02119016,India,India F7,2017-09-04T00:00:00.000Z
6939ac1fa0a4842b02119017,Spain,Spain F6,2001-08-13T00:00:00.000Z
6939ac1fa0a4842b02119018,New Zealand,TPE vs NZL AOG1,1995-01-30T00:00:00.000Z
6939ac1fa0a4842b02119019,Brazil,Belo Horizonte,1997-08-04T00:00:00.000Z
6939ac1fa0a4842b0211901a,Germany,Germany F15,2015-10-05T00:00:00.000Z
6939ac1fa0a4842b0211901b,India,India F9,2013-11-11T00:00:00.000Z
6939ac1fa0a4842b0211901c,Guadeloupe,Guadeloupe,1987-04-13T00:00:00.000Z
6939ac1fa0a4842b0211901d,Guatemala,DOM vs GUA AGII Rd 1,2001-02-05T00:00:00.000Z
6939ac1fa0a4842b0211901e,Brazil,Guaruja,1985-01-14T00:00:00.000Z
6939ac1fa0a4842b0211901f,Belgium,Belgium F1,1999-08-09T00:00:00.000Z
6939ac1fa0a4842b02119020,Croatia,CRO vs.ARG DC Final,2016-11-21T00:00:00.000Z
6939ac1fa0a4842b02119021,Israel,Israel F6,2012-03-26T00:00:00.000Z
6939ac1fa0a4842b02119022,Czechia,Slovak Republic F1,2008-08-04T00:00:00.000Z
6939ac1fa0a4842b02119023,Italy,Cuneo,1979-05-07T00:00:00.000Z
6939ac1fa0a4842b02119024,Morocco,M15 Agadir,2019-07-29T00:00:00.000Z
6939ac1fa0a4842b02119025,United Kingdom,Bristol,2001-07-09T00:00:00.000Z
6939ac1fa0a4842b02119026,New Zealand,Auckland,2006-01-09T00:00:00.000Z
6939ac1fa0a4842b02119027,Argentina,ARG vs CRO WG Qtrs,2002-04-01T00:00:00.000Z
6939ac1fa0a4842b02119028,France,Metz,2021-09-20T00:00:00.000Z
6939ac1fa0a4842b02119029,Trinidad and Tobago,Austria F3,2002-07-29T00:00:00.000Z
6939ac1fa0a4842b0211902a,Poland,MAR vs POL EA2,1994-07-11T00:00:00.000Z
6939ac1fa0a4842b0211902b,United Kingdom,Bristol,2000-07-10T00:00:00.000Z
6939ac1fa0a4842b0211902c,Netherlands,POR vs NED EAZ,1989-05-01T00:00:00.000Z
6939ac1fa0a4842b0211902d,Portugal,Portugal F3,2003-02-17T00:00:00.000Z
6939ac1fa0a4842b0211902e,United Kingdom,Great Britain F5,2017-09-18T00:00:00.000Z
6939ac1fa0a4842b0211902f,Chile,Chile F1,2009-10-05T00:00:00.000Z
6939ac1fa0a4842b02119030,Uzbekistan,Karshi,2013-05-06T00:00:00.000Z
6939ac1fa0a4842b02119031,Bulgaria,Bulgaria F6,2007-08-27T00:00:00.000Z
6939ac1fa0a4842b02119032,Spain,Spain F15,2003-07-21T00:00:00.000Z
6939ac1fa0a4842b02119033,Cuba,CAN vs CUB WGPO,1991-09-16T00:00:00.000Z
6939ac1fa0a4842b02119034,France,France F21,2018-10-08T00:00:00.000Z
6939ac1fa0a4842b02119035,Bulgaria,BUL vs FIN EAGII 1st Rd.,2013-01-28T00:00:00.000Z
6939ac1fa0a4842b02119036,Australia,FRA vs AUS 1RD,1990-01-29T00:00:00.000Z
6939ac1fa0a4842b02119037,Iran,Iran F1,2011-05-30T00:00:00.000Z
6939ac1fa0a4842b02119038,China,Shenzhen,2015-09-28T00:00:00.000Z
6939ac1fa0a4842b02119039,United Kingdom,Brighton,2000-11-20T00:00:00.000Z
6939ac1fa0a4842b0211903a,Brazil,Brazil F20,2009-09-21T00:00:00.000Z
6939ac1fa0a4842b0211903b,Ecuador,Ecuador F1,1998-08-03T00:00:00.000Z
6939ac1fa0a4842b0211903c,United States,ATP Masters 1000 Indian Wells,2010-03-08T00:00:00.000Z
6939ac1fa0a4842b0211903d,Trinidad and Tobago,Graz,1993-08-16T00:00:00.000Z
6939ac1fa0a4842b0211903e,Italy,Rome,1988-05-09T00:00:00.000Z
6939ac1fa0a4842b0211903f,Thailand,M25 Nonthaburi,2019-07-22T00:00:00.000Z
6939ac1fa0a4842b02119040,Chile,CHI vs AUT WG Play-off,2009-09-14T00:00:00.000Z
6939ac1fa0a4842b02119041,France,Montauban,1994-06-27T00:00:00.000Z
6939ac1fa0a4842b02119042,Egypt,Egypt F27,2018-11-12T00:00:00.000Z
6939ac1fa0a4842b02119043,South Korea,M15 Daegu,2019-06-03T00:00:00.000Z
6939ac1fa0a4842b02119044,Monaco,ATP Masters 1000 Monte Carlo,1994-04-18T00:00:00.000Z
6939ac1fa0a4842b02119045,Spain,Spain F20,2011-06-13T00:00:00.000Z
6939ac1fa0a4842b02119046,Brazil,Brazil F8,2010-05-24T00:00:00.000Z
6939ac1fa0a4842b02119047,Germany,Dresden,1993-05-10T00:00:00.000Z
6939ac1fa0a4842b02119048,Italy,Barletta,2006-03-20T00:00:00.000Z
6939ac1fa0a4842b02119049,Qatar,Qatar F2,2012-10-01T00:00:00.000Z
6939ac1fa0a4842b0211904a,Switzerland,Lugano,2021-03-22T00:00:00.000Z
6939ac1fa0a4842b0211904b,Morocco,Morocco F6,2008-10-06T00:00:00.000Z
6939ac1fa0a4842b0211904c,Italy,Trani,2007-07-30T00:00:00.000Z
6939ac1fa0a4842b0211904d,Denmark,Copenhagen,1995-03-06T00:00:00.000Z
6939ac1fa0a4842b0211904e,Germany,Stuttgart,2012-07-09T00:00:00.000Z
6939ac1fa0a4842b0211904f,Australia,Sydney1,2013-02-25T00:00:00.000Z
6939ac1fa0a4842b02119050,India,Bangalore,1991-01-28T00:00:00.000Z
6939ac1fa0a4842b02119051,Poland,Sopot,2005-08-01T00:00:00.000Z
6939ac1fa0a4842b02119052,United States,Los Angeles,2003-07-28T00:00:00.000Z
6939ac1fa0a4842b02119053,Morocco,Morocco F3,2016-03-21T00:00:00.000Z
6939ac1fa0a4842b02119054,Italy,Italy F34,2008-10-06T00:00:00.000Z
6939ac1fa0a4842b02119055,Portugal,Portugal F2,2018-02-26T00:00:00.000Z
6939ac1fa0a4842b02119056,Israel,Israel F2,1999-03-15T00:00:00.000Z
6939ac1fa0a4842b02119057,Kenya,Kenya F1,2002-07-01T00:00:00.000Z
6939ac1fa0a4842b02119058,United States,U.S.A. F8,2002-04-08T00:00:00.000Z
6939ac1fa0a4842b02119059,Slovakia,SVK vs MKD EAG I 2nd RD Play-off,2009-09-14T00:00:00.000Z
6939ac1fa0a4842b0211905a,United States,Winnetka,2008-06-30T00:00:00.000Z
6939ac1fa0a4842b0211905b,Australia,Australia F11,2008-11-24T00:00:00.000Z
6939ac1fa0a4842b0211905c,Poland,POL vs NOR - EUROPE GROUP II FINAL,1990-07-16T00:00:00.000Z
6939ac1fa0a4842b0211905d,France,France F8,2016-04-18T00:00:00.000Z
6939ac1fa0a4842b0211905e,Qatar,M15 Doha,2021-12-27T00:00:00.000Z
6939ac1fa0a4842b0211905f,Colombia,COL vs DOM AGI 2nd Rd.,2014-03-31T00:00:00.000Z
6939ac1fa0a4842b02119060,Turkey,Turkey F16,2016-04-18T00:00:00.000Z
6939ac1fa0a4842b02119061,Australia,Perth,1997-12-08T00:00:00.000Z
6939ac1fa0a4842b02119062,Spain,Spain F14,2006-05-08T00:00:00.000Z
6939ac1fa0a4842b02119063,Trinidad and Tobago,Austria F3,2017-07-17T00:00:00.000Z
6939ac1fa0a4842b02119064,Colombia,Medellin,2006-10-09T00:00:00.000Z
6939ac1fa0a4842b02119065,India,IND vs LIB AOZ1,2000-01-31T00:00:00.000Z
6939ac1fa0a4842b02119066,United States,Washington 2,1978-07-17T00:00:00.000Z
6939ac1fa0a4842b02119067,Canada,Canada F2,2002-06-17T00:00:00.000Z
6939ac1fa0a4842b02119068,Egypt,M15 Cairo,2022-01-17T00:00:00.000Z
6939ac1fa0a4842b02119069,Brazil,Brazil F14,2012-06-18T00:00:00.000Z
6939ac1fa0a4842b0211906a,Italy,Olbia,2004-04-12T00:00:00.000Z
6939ac1fa0a4842b0211906b,Italy,Manerbio,2003-08-18T00:00:00.000Z
6939ac1fa0a4842b0211906c,Romania,Romania F5,2006-05-29T00:00:00.000Z
6939ac1fa0a4842b0211906d,Mexico,Morelos,2017-02-20T00:00:00.000Z
6939ac1fa0a4842b0211906e,Serbia,SRB vs SWE WG 1st RD,2012-02-06T00:00:00.000Z
6939ac1fa0a4842b0211906f,Spain,Spain F21,2003-09-01T00:00:00.000Z
6939ac1fa0a4842b02119070,Spain,Spain F11,2018-05-14T00:00:00.000Z
6939ac1fa0a4842b02119071,Germany,Munich,2007-04-30T00:00:00.000Z
6939ac1fa0a4842b02119072,Spain,Spain F1,1999-07-05T00:00:00.000Z
6939ac1fa0a4842b02119073,Estonia,EST vs BIH EAG II 2nd RD,2010-07-05T00:00:00.000Z
6939ac1fa0a4842b02119074,Spain,Spain F1,2010-01-11T00:00:00.000Z
6939ac1fa0a4842b02119075,Brazil,Belo Horizonte,2011-09-12T00:00:00.000Z
6939ac1fa0a4842b02119076,Spain,ATP Masters 1000 Madrid,2004-10-18T00:00:00.000Z
6939ac1fa0a4842b02119077,Spain,Tenerife,1993-01-18T00:00:00.000Z
6939ac1fa0a4842b02119078,Croatia,Umag,1998-07-27T00:00:00.000Z
6939ac1fa0a4842b02119079,France,France F5,1998-09-07T00:00:00.000Z
6939ac1fa0a4842b0211907a,Bosnia and Herzegovina,Bosnia &amp; Herzegovina F4,2014-05-26T00:00:00.000Z
